id,shortname,mktcap,lastvalue,change,percentchange,direction,stk_details,volume,url,
BE03,Bharat Elec,"24,365.93",100,1.2,1.21,1,[],370.10k,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,
BFC,Bharat Forge,"21,633.58",464.65,16.3,3.64,1,[],102.44k,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,
BTV,Bharti Airtel,"2,19,395.56",427.5,-10.8,-2.46,-1,[],362.76k,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/bhartiairtel/BA08,
BI26,Bharti Infratel,"46,674.86",252.35,0.2,0.08,1,[],189.36k,https://www.moneycontrol.com/india/stockpricequote/telecommunications-equipment/bhartiinfratel/BI14,
BHE,BHEL,"16,243.83",46.65,1.45,3.21,1,[],1.13m,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE,
BL03,Biocon,"35,106.00",292.55,-0.45,-0.15,-1,[],198.91k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,
MIC,Bosch,"44,804.38","15,191.20",215.75,1.44,1,[],1.32k,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/bosch/B05,
BPC,BPCL,"1,07,703.40",496.5,5.45,1.11,1,[],324.13k,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,
BI,Britannia,"73,455.85","3,054.70",-17.05,-0.56,-1,[],19.49k,https://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI,
CHC,Cadila Health,"26,719.68",261,-2.85,-1.08,-1,[],36.67k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,
CB06,Canara Bank,"23,489.32",228,10.05,4.61,1,[],298.64k,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/canarabank/CB06,
C,Cipla,"37,195.20",461.35,0.75,0.16,1,[],47.65k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,
CI29,Coal India,"1,20,974.36",196.3,5.95,3.13,1,[],310.06k,https://www.moneycontrol.com/india/stockpricequote/mining-minerals/coalindia/CI11,
CPI,Colgate,"40,157.32","1,476.45",1.4,0.09,1,[],11.69k,https://www.moneycontrol.com/india/stockpricequote/personal-care/colgatepalmoliveindia/CPI,
CCI,Container Corp,"35,174.56",577.3,15.85,2.82,1,[],78.57k,https://www.moneycontrol.com/india/stockpricequote/transport-logistics/containercorporationindia/CCI,
CI02,Cummins,"15,203.03",548.45,9.9,1.84,1,[],14.70k,https://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,
DI,Dabur India,"81,267.27",459.9,2.6,0.57,1,[],16.99k,https://www.moneycontrol.com/india/stockpricequote/personal-care/daburindia/DI,
DL03,Divis Labs,"48,844.89","1,839.95",10.15,0.55,1,[],57.97k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,
D04,DLF,"56,647.51",228.85,3.95,1.76,1,[],813.51k,https://www.moneycontrol.com/india/stockpricequote/construction-contracting-real-estate/dlf/D04,
DRL,Dr Reddys Labs,"46,904.85","2,822.85",-82.65,-2.84,-1,[],45.47k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,
EM,Eicher Motors,"60,155.09","22,031.15",87.8,0.4,1,[],3.22k,https://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/eichermotors/EM,
EI,Exide Ind,"15,810.00",186,1.25,0.68,1,[],81.39k,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/exideindustries/EI,
GAI,GAIL,"54,470.38",119.75,0.8,0.67,1,[],202.42k,https://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/gailindia/GAI,
GP08,Glenmark,"9,585.25",339.7,-1.65,-0.48,-1,[],72.26k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,
GCP,Godrej Consumer,"68,929.28",674.25,7.9,1.19,1,[],11.74k,https://www.moneycontrol.com/india/stockpricequote/personal-care/godrejconsumerproducts/GCP,
GI01,Grasim,"51,449.74",782.15,7.8,1.01,1,[],40.71k,https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01,
HI01,Havells India,"40,949.41",654.35,1.85,0.28,1,[],18.07k,https://www.moneycontrol.com/india/stockpricequote/electric-equipment/havellsindia/HI01,
HCL02,HCL Tech,"1,47,446.99",543.35,7.05,1.31,1,[],43.36k,https://www.moneycontrol.com/india/stockpricequote/computers-software/hcltechnologies/HCL02,
HDF,HDFC,"4,06,634.47","2,352.90",34.5,1.49,1,[],102.53k,https://www.moneycontrol.com/india/stockpricequote/finance-housing/housingdevelopmentfinancecorporation/HDF,
HDF01,HDFC Bank,"6,91,457.21","1,262.80",-0.65,-0.05,-1,[],93.77k,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01,
HHM,Hero Motocorp,"46,673.60","2,336.75",2.65,0.11,1,[],37.41k,https://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/heromotocorp/HHM,
H,Hindalco,"46,796.26",208.35,7.1,3.53,1,[],584.00k,https://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI,
HPC,HPCL,"40,754.64",267.45,1.6,0.6,1,[],268.25k,https://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,
HL,HUL,"4,34,109.76","2,005.30",-1.15,-0.06,-1,[],55.99k,https://www.moneycontrol.com/india/stockpricequote/personal-care/hindustanunilever/HU,
ICI02,ICICI Bank,"3,47,490.29",537.4,2.35,0.44,1,[],554.17k,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/icicibank/ICI02,
IDF01,IDFC First Bank,"20,882.28",43.65,0.5,1.16,1,[],405.94k,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/idfcfirstbank/IDF01,
IHF01,Indiabulls Hsg,"13,224.87",309.3,17.75,6.09,1,[],5.41m,https://www.moneycontrol.com/india/stockpricequote/finance-housing/indiabullshousingfinance/IHF01,
IIB,IndusInd Bank,"1,03,051.66","1,486.95",44.3,3.07,1,[],83.52k,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/indusindbank/IIB,
IT,Infosys,"3,02,882.73",711.25,9.4,1.34,1,[],694.60k,https://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT,
IOC,IOC,"1,20,689.52",128.2,0.05,0.04,1,[],228.46k,https://www.moneycontrol.com/india/stockpricequote/refineries/indianoilcorporation/IOC,
ITC,ITC,"2,96,971.03",241.65,3,1.26,1,[],268.93k,https://www.moneycontrol.com/india/stockpricequote/cigarettes/itc/ITC,
JVS,JSW Steel,"62,219.25",257.4,1.7,0.66,1,[],519.52k,https://www.moneycontrol.com/india/stockpricequote/steel-large/jswsteel/JSW01,
KMF,Kotak Mahindra,"3,23,236.17","1,691.95",-23.75,-1.38,-1,[],120.66k,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/kotakmahindrabank/KMB,
LT,Larsen,"1,83,195.44","1,305.20",26,2.03,1,[],137.87k,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/larsentoubro/LT,
LIC,LIC Housing Fin,"22,126.95",438.45,4.9,1.13,1,[],138.63k,https://www.moneycontrol.com/india/stockpricequote/finance-housing/lichousingfinance/LIC,
LC03,Lupin,"34,242.64",756.25,7.7,1.03,1,[],20.76k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,
MM,M&M,"64,148.74",516,4.25,0.83,1,[],144.32k,https://www.moneycontrol.com/india/stockpricequote/auto-cars-jeeps/mahindramahindra/MM,
MMF04,M&M Financial,"21,034.90",340.5,2.15,0.64,1,[],186.57k,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/mahindramahindrafinancialservices/MMF04,
MI25,Marico,"43,136.91",334.15,2.9,0.88,1,[],42.64k,https://www.moneycontrol.com/india/stockpricequote/personal-care/marico/M13,
MU01,Maruti Suzuki,"2,18,142.58","7,221.35",223.6,3.2,1,[],68.02k,https://www.moneycontrol.com/india/stockpricequote/auto-cars-jeeps/marutisuzukiindia/MS24,
MSS01,Motherson Sumi,"44,479.50",140.85,5.4,3.99,1,[],944.13k,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/mothersonsumisystems/MSS01,
MRF,MRF,"26,979.63","63,614.05",945.35,1.51,1,[],279,https://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF,
NI,Nestle,"1,38,007.53","14,313.80",144.2,1.02,1,[],1.45k,https://www.moneycontrol.com/india/stockpricequote/food-processing/nestleindia/NI,
NMD01,NMDC,"34,966.32",114.2,0.4,0.35,1,[],176.55k,https://www.moneycontrol.com/india/stockpricequote/mining-minerals/nmdc/NMD02,
NTP,NTPC,"1,14,381.08",115.6,1.15,1,1,[],180.55k,https://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/ntpc/NTP,
ONG,ONGC,"1,59,077.63",126.45,0.6,0.48,1,[],196.38k,https://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/oilnaturalgascorporation/ONG,
PLN,Petronet LNG,"41,145.00",274.3,2.9,1.07,1,[],135.48k,https://www.moneycontrol.com/india/stockpricequote/oil-drilling-and-exploration/petronetlng/PLN,
PI11,Pidilite Ind,"67,307.34","1,325.00",-5.4,-0.41,-1,[],10.29k,https://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11,
NP07,Piramal Enter,"33,349.56","1,677.15",19.9,1.2,1,[],28.59k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05,
PNB05,PNB,"43,423.61",64.45,3.65,6,1,[],2.34m,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/punjabnationalbank/PNB05,
PFC02,Power Finance,"30,492.94",115.5,0,0,0,[],163.86k,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/powerfinancecorporation/PFC02,
PGC,Power Grid Corp,"97,490.67",186.35,1.95,1.06,1,[],169.36k,https://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/powergridcorporationindia/PGC,
REC02,REC,"26,878.63",136.1,1.05,0.78,1,[],89.71k,https://www.moneycontrol.com/india/stockpricequote/finance-term-lending-institutions/rec/REC02,
RCF,Rel Capital,274.19,10.85,0.45,4.33,1,[],880.07k,https://www.moneycontrol.com/india/stockpricequote/finance-investments/reliancecapital/RC,
RI,Reliance,"10,03,147.26","1,582.45",14.95,0.95,1,[],611.63k,https://www.moneycontrol.com/india/stockpricequote/refineries/relianceindustries/RI,
BSE,Reliance Infra,556.22,21.15,1,4.96,1,[],336.86k,https://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/relianceinfrastructure/RI38,
SAI,SAIL,"16,769.93",40.6,0.8,2.01,1,[],2.86m,https://www.moneycontrol.com/india/stockpricequote/steel-large/steelauthorityindia/SAI,
SBI,SBI,"2,96,921.83",332.7,10.9,3.39,1,[],1.90m,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/statebankindia/SBI,
SC12,Shree Cements,"73,636.12","20,408.70",382.7,1.91,1,[],229,https://www.moneycontrol.com/india/stockpricequote/cement-major/shreecements/SC12,
STF,Shriram Trans,"25,066.00","1,104.80",5.05,0.46,1,[],14.71k,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/shriramtransportfinancecorporation/STF,
S,Siemens,"52,785.92","1,482.25",-4.45,-0.3,-1,[],10.57k,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/siemens/S,
SPI,Sun Pharma,"1,05,246.83",438.65,4.85,1.12,1,[],328.91k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/sunpharmaceuticalindustries/SPI,
TC,Tata Chemicals,"16,996.07",667.15,7.6,1.15,1,[],29.44k,https://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,
TT,Tata Global Bev,"20,694.74",327.9,4.3,1.33,1,[],203.04k,https://www.moneycontrol.com/india/stockpricequote/plantations-tea-coffee/tataglobalbeverage/TT,
TEL,Tata Motors,"54,566.69",176.65,3.3,1.9,1,[],4.96m,https://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/tatamotors/TM03,
TPC,Tata Power,"14,605.78",54,0.6,1.12,1,[],624.65k,https://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/tatapowercompany/TPC,
TIS,Tata Steel,"48,298.25",428.75,10,2.39,1,[],1.02m,https://www.moneycontrol.com/india/stockpricequote/steel-large/tatasteel/TIS,
TCS,TCS,"7,77,381.54","2,071.70",54.95,2.72,1,[],197.21k,https://www.moneycontrol.com/india/stockpricequote/computers-software/tataconsultancyservices/TCS,
TM4,Tech Mahindra,"74,871.65",759.55,3.6,0.48,1,[],45.05k,https://www.moneycontrol.com/india/stockpricequote/computers-software/techmahindra/TM4,
TI01,Titan Company,"1,05,069.49","1,183.50",-4.25,-0.36,-1,[],39.37k,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,
TMD,TML-D,"2,335.99",72.8,2.35,3.34,1,[],1.03m,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/tatamotorsltddvr/TATAM57000,
UTC,UltraTechCement,"1,17,696.84","4,078.00",87,2.18,1,[],22.28k,https://www.moneycontrol.com/india/stockpricequote/cement-major/ultratechcement/UTC01,
UBB,United Brewerie,"32,299.73","1,221.60",10.35,0.85,1,[],5.98k,https://www.moneycontrol.com/india/stockpricequote/breweries-distilleries/unitedbreweries/UB02,
SI10,UPL,"43,130.37",564.5,-5.6,-0.98,-1,[],28.55k,https://www.moneycontrol.com/india/stockpricequote/chemicals/upl/UP04,
SG,Vedanta,"55,516.33",149.35,5.4,3.75,1,[],829.46k,https://www.moneycontrol.com/india/stockpricequote/mining-minerals/vedanta/SG,
IC8,Vodafone Idea,"19,884.89",6.92,0.15,2.22,1,[],33.88m,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/vodafoneidealimited/IC8,
W,Wipro,"1,39,224.23",243.7,4.3,1.8,1,[],349.26k,https://www.moneycontrol.com/india/stockpricequote/computers-software/wipro/W,
YB,Yes Bank,"11,897.95",46.65,1.3,2.87,1,[],13.06m,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/yesbank/YB,
ZT,Zee Entertain,"26,855.11",279.6,-4.5,-1.58,-1,[],639.60k,https://www.moneycontrol.com/india/stockpricequote/media-entertainment/zeeentertainmententerprises/ZEE,
B3M,3M India,"23,346.29","20,724.50",20.65,0.1,1,[],94,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42,
ABC07,AB Capital,"23,199.63",100.3,1,1.01,1,[],201.36k,https://www.moneycontrol.com/india/stockpricequote/finance-investments/adityabirlacapital/ABC9,
ABB,ABB India,"31,493.82","1,486.20",1.95,0.13,1,[],2.86k,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/abbindia/ABB,
KP,Abbott India,"27,568.53","12,973.85",152.15,1.19,1,[],511,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/abbottindia/AI51,
ACC,ACC,"27,513.65","1,465.15",33.35,2.33,1,[],48.32k,https://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06,
AE01,Adani Enterpris,"23,332.47",212.15,1,0.47,1,[],185.89k,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,
MPS,Adani Ports,"76,617.36",377.1,4.8,1.29,1,[],86.47k,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/adaniportsspecialeconomiczone/MPS,
AP26,Adani Power,"23,643.04",61.3,0.95,1.57,1,[],614.79k,https://www.moneycontrol.com/india/stockpricequote/power-generation-distribution/adanipower/AP11,
AT18,Adani Trans,"36,497.20",331.85,-3.95,-1.18,-1,[],30.48k,https://www.moneycontrol.com/india/stockpricequote/power-transmission-equipment/adanitransmission/AT22,
PFR,Aditya Birla F,"17,677.54",228.5,3.7,1.65,1,[],33.01k,https://www.moneycontrol.com/india/stockpricequote/retail/adityabirlafashionretail/PFR,
ADG01,AGL,"16,673.12",151.6,-0.2,-0.13,-1,[],58.73k,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/adanigaslimited/ADG01,
AIE01,AIA Engineering,"15,524.19","1,645.90",32,1.98,1,[],338,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/aiaengineering/AIE01,
AP22,Ajanta Pharma,"8,553.79",980.25,3.15,0.32,1,[],2.50k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22,
AL16,Alkem Lab,"24,785.23","2,072.95",-10.35,-0.5,-1,[],235,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,
ARB,Amara Raja Batt,"12,667.46",741.6,5.55,0.75,1,[],9.38k,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/amararajabatteries/ARB,
GAC,Ambuja Cements,"39,276.06",197.8,4.65,2.41,1,[],108.84k,https://www.moneycontrol.com/india/stockpricequote/cement-major/ambujacements/AC18,
AHE,Apollo Hospital,"18,831.98","1,353.60",-32.25,-2.33,-1,[],181.34k,https://www.moneycontrol.com/india/stockpricequote/hospitals-medical-services/apollohospitalsenterprises/AHE,
AT,Apollo Tyres,"9,536.07",166.7,1.1,0.66,1,[],78.06k,https://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,
AL,Ashok Leyland,"23,777.77",81,2.5,3.18,1,[],1.12m,https://www.moneycontrol.com/india/stockpricequote/auto-lcvs-hcvs/ashokleyland/AL,
API,Asian Paints,"1,67,284.09","1,744.00",-7,-0.4,-1,[],41.60k,https://www.moneycontrol.com/india/stockpricequote/paints-varnishes/asianpaints/AP31,
APT02,Astral Poly Tec,"17,595.84","1,167.90",2.35,0.2,1,[],968,https://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,
ASF03,AU Small Financ,"23,337.01",795.1,-4.2,-0.53,-1,[],12.69k,https://www.moneycontrol.com/india/stockpricequote/finance-general/ausmallfinancebank/ASF02,
AP,Aurobindo Pharm,"26,320.36",449.2,0.6,0.13,1,[],89.22k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,
AS28,Avenue Supermar,"1,11,608.35","1,780.15",1.45,0.08,1,[],28.14k,https://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19,
UTI10,Axis Bank,"2,12,025.60",752,30.4,4.21,1,[],471.84k,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/axisbank/AB16,
BA06,Bajaj Auto,"93,553.80","3,233.05",-27.95,-0.86,-1,[],52.11k,https://www.moneycontrol.com/india/stockpricequote/auto-2-3-wheelers/bajajauto/BA10,
BAF,Bajaj Finance,"2,44,926.56","4,070.65",14.5,0.36,1,[],19.08k,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/bajajfinance/BAF,
BF04,Bajaj Finserv,"1,46,519.29","9,207.10",39.05,0.43,1,[],5.06k,https://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajfinserv/BF04,
BA,Bajaj Holdings,"36,912.16","3,316.65",-44.75,-1.33,-1,[],638,https://www.moneycontrol.com/india/stockpricequote/finance-investments/bajajholdingsinvestment/BHI,
BI03,Balkrishna Ind,"18,432.79",953.5,30.95,3.35,1,[],60.64k,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,
BB09,Bandhan Bank,"82,854.25",514.6,-1.05,-0.2,-1,[],49.47k,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/bandhanbank/BB09,
BOB,Bank of Baroda,"40,385.60",101.75,3.85,3.93,1,[],1.73m,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofbaroda/BOB,
BOI,Bank of India,"23,249.77",70.95,2.2,3.2,1,[],588.89k,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/bankofindia/BOI,
BI01,Bata India,"22,144.65","1,722.95",12.05,0.7,1,[],61.86k,https://www.moneycontrol.com/india/stockpricequote/leather-products/bataindia/BI01,
HSA01,Bayer CropScien,"15,736.02","3,501.40",0.8,0.02,1,[],337,https://www.moneycontrol.com/india/stockpricequote/pesticides-agro-chemicals/bayercropscience/BC12,
BPI02,Berger Paints,"48,614.75",500.6,2.2,0.44,1,[],25.27k,https://www.moneycontrol.com/india/stockpricequote/paints-varnishes/bergerpaintsindia/BPI02,
BE03,Bharat Elec,"24,365.93",100,1.2,1.21,1,[],370.10k,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,
BFC,Bharat Forge,"21,633.58",464.65,16.3,3.64,1,[],102.44k,https://www.moneycontrol.com/india/stockpricequote/castings-forgings/bharatforge/BF03,
BTV,Bharti Airtel,"2,19,395.56",427.5,-10.8,-2.46,-1,[],362.76k,https://www.moneycontrol.com/india/stockpricequote/telecommunications-service/bhartiairtel/BA08,
BI26,Bharti Infratel,"46,674.86",252.35,0.2,0.08,1,[],189.36k,https://www.moneycontrol.com/india/stockpricequote/telecommunications-equipment/bhartiinfratel/BI14,
BHE,BHEL,"16,243.83",46.65,1.45,3.21,1,[],1.13m,https://www.moneycontrol.com/india/stockpricequote/infrastructure-general/bharatheavyelectricals/BHE,
BL03,Biocon,"35,106.00",292.55,-0.45,-0.15,-1,[],198.91k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,
MIC,Bosch,"44,804.38","15,191.20",215.75,1.44,1,[],1.32k,https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries/bosch/B05,
BPC,BPCL,"1,07,703.40",496.5,5.45,1.11,1,[],324.13k,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,
BI,Britannia,"73,455.85","3,054.70",-17.05,-0.56,-1,[],19.49k,https://www.moneycontrol.com/india/stockpricequote/food-processing/britanniaindustries/BI,
CHC,Cadila Health,"26,719.68",261,-2.85,-1.08,-1,[],36.67k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,
CB06,Canara Bank,"23,489.32",228,10.05,4.61,1,[],298.64k,https://www.moneycontrol.com/india/stockpricequote/banks-public-sector/canarabank/CB06,
CI01,Castrol,"12,952.56",130.95,1.2,0.92,1,[],74.36k,https://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,
CTI,Century,"5,595.95",501,4.9,0.99,1,[],56.63k,https://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,
CGC01,CG Consumer,"15,338.84",244.55,1.45,0.6,1,[],10.42k,https://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01,
CIF01,Cholamandalam,"24,733.94",316.35,3.45,1.1,1,[],50.11k,https://www.moneycontrol.com/india/stockpricequote/finance-leasing-hire-purchase/cholamandalaminvestmentfinancecompany/CDB,
C,Cipla,"37,195.20",461.35,0.75,0.16,1,[],47.65k,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,
CUB,City Union Bank,"17,008.34",231.15,-1.9,-0.82,-1,[],3.14k,https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/cityunionbank/CUB,
CI29,Coal India,"1,20,974.36",196.3,5.95,3.13,1,[],310.06k,https://www.moneycontrol.com/india/stockpricequote/mining-minerals/coalindia/CI11,
